-logy	-logi
Afghanistan	Afghanistan
Afrikaans	Afrika
Alaska	Alaska
Albania	Albania
Algeria	Algeria
Andorra	Andorra
Angola	Angola
Arabic	Arab
Argentina	Argentina
Armenia	Armenia
Australia	Australia
Austria	Austria
Azerbaijan	Azerbaijan
Bahamas	Bahamas
Bahrain	Bahrain
Buddha	Buddha
Caaba	Kaabah
Cambodia	Kemboja
Cambodian	Kemboja
Canada	Kanada
Catalan	catala
China	Cina
Christmas	Hari Natal
Coca-Cola	Coca-Cola
Croatian	Kroatia
December	Disember
Dutch	Belanda
Egypt	Mesir
Egyptian	Mesir
English	Inggeris
France	Perancis
French	Perancis
German	Jerman
Germany	Jerman
Gujarati	Gujarati
Hindi	hindi
India	India
Indonesia	Indonesia
Indonesian	Indonesia
Italian	Itali
Italy	Itali
Japan	Jepun
Japanese	Jepun
Jerusalem	Baitulmuqaddis
Jew	Yahudi
Jupiter	Musytari
Kazakhstan	Kazakhstan
Korea	Korea
Korean	Korea
Malay	bahasa Melayu
Malaysia	Malaysia
Maldives	Maldives
Mercury	Utarid
Moroccan	Maghribi
Morocco	Maghribi
Neptune	Neptun
Netherlands	Belanda
Palestine	Palestin
Palestinian	Palestin
Philippines	Filipina
Pluto	Pluto
Polish	Poland
Portuguese	Portugis
Punjabi	Punjabi
Pythagoras	Pythagoras
Russia	Rusia
Russian	Rusia
Saturn	Zuhal
Singapore	Singapura
Singaporean	Singapura
Spain	Sepanyol
Spanish	Sepanyol
Turkey	Turki
Venus	Zuhrah
Yemen	Yaman
abacus	sempoa
abalone	abalon
abduct	culik
able	dapat
acid	acid
act	akta
air	udara
al-Qaeda	Al Qaeda
aluminium	aluminium
ambassador	duta
antimony	antimoni
apple	epal
argent	argentum
argon	argon
art	seni
babe	sayang
battery	bateri
bear	beruang
behind	sesudah
beryllium	berilium
biochemistry	biokimia
bodybuilding	bina-badan
bohrium	bohrium
boredom	bosan
boron	boron
buffalo	misa
calcium	kalsium
calendar	kalendar
camouflage	penyamaran
cannabis	kanabis
carbon	arang
chemistry	Kimia
chromium	kromium
circumcision	khatan
clock	jam
cobalt	kobalt
comb	sikat
common	biasa
communism	komunisme
computer	komputer
confluence	kuala
creative	kreatif
cruel	kejam
cunt	puki
custom	adat
dare	cabar
dark	gelap
day	hari
decade	dekad
decision	keputusan
deity	Tuhan
develop	cuci
dog	anjing
dye	pewarna
earth	bumi
eel	moa
egg	telur
ferry	feri
fire	api
fish	ikan
five	lima
francium	fransium
galanga	lengkuas
galangal	lengkuas
galingale	lengkuas
gay	homoseksual
goblin	afrit
green	hijau
hafnium	hafnium
hajj	haji
harbor	bandar
harbour	bandar
hatred	benci
health	kesihatan
heap	Melambak
helium	helium
hero	wira
holmium	holmium
hope	harap
hope	harapan
hot	panas
hour	jam
house	rumah
illness	penyakit
independent	merdeka
interest	minat
iridium	iridium
island	pulau
joule	joule
kiasu	Takut Kalah
krypton	kripton
ladybird	kumbang
ladybug	kumbang
language	bahasa
laptop	komputer riba
lawrencium	lawrensium
lead	plumbum
library	perpustakaan
lion	singa
liquid	cecair
lithium	litium
malaria	malaria
manganese	mangan
meet	berjumpa
meitnerium	meitnerium
mercury	merkuri
middle	tengah
minute	minit
molybdenum	molibdenum
monkey	monyet
mould	acuan
mustache	misai
neodymium	neodimium
neon	neon
nickel	nikel
night	bermalam
night	malam
nitrogen	nitrogen
ocean	segara
orphan	yatim
page	laman
parent	orang tua
phosphorus	fosforus
planet	planet
platypus	platypus
please	sila
pole	galah
police station	balai polis
potassium	kalium
promethium	prometium
pus	nanah
random	rambang
rape	rogol
ready	sedia
red	merah
school	sekolah
selenium	selenium
shadow	bayang
short	pendek
sick	sakit
silicon	silikon
silver	argentum
sleep	tidur
sorry	maaf
spider	labah-labah
stake	galah
story	cerita
story	tingkat
strontium	strontium
suggest	cadang
tapir	tenuk
tea	teh
teat	dot
telephone	telefon
tellurium	telurium
thousand	ribu
titanium	titanium
town	bandar
tree	pokok
try	cuba
tungsten	wolfram
useful	berguna
value	menaksir
water	air
wind	angin
xenon	xenon
yes	ya
